probe,EntrezGene.ID,probe.name,Alignment.score,Length.of.probe,NCBI.gene.symbol,HUGO.gene.symbol,Cytoband,Alternative.symbols,Description
204404_at,6558,204404_at,10,11,SLC12A2,SLC12A2,5q23.3,BSC|BSC2|MGC104233|NKCC1,"solute carrier family 12 (sodium/potassium/chloride transporters), member 2"
204405_x_at,27292,204405_x_at,11,11,DIMT1L,DIMT1L,5q11-q14,DIMT1|HSA9761,DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)
204406_at,,,,,,,,,
204407_at,8458,204407_at,8,11,TTF2,TTF2,1p22,HuF2,"transcription termination factor, RNA polymerase II"
204408_at,27301,204408_at,11,11,APEX2,APEX2,Xp11.21,APE2|APEXL2|XTH2,APEX nuclease (apurinic/apyrimidinic endonuclease) 2
204409_s_at,9086,204409_s_at,11,11,EIF1AY,EIF1AY,Yq11.222,,"eukaryotic translation initiation factor 1A, Y-linked"
204410_at,9086,204410_at,9,11,EIF1AY,EIF1AY,Yq11.222,,"eukaryotic translation initiation factor 1A, Y-linked"
204411_at,23046,204411_at,11,11,KIF21B,KIF21B,1pter-q31.3,FLJ16314,kinesin family member 21B
204412_s_at,4744,204412_s_at,9,11,NEFH,NEFH,22q12.2,NFH,"neurofilament, heavy polypeptide 200kDa"
204413_at,7186,204413_at,9,11,TRAF2,TRAF2,9q34,MGC:45012|TRAP|TRAP3,TNF receptor-associated factor 2
204414_at,,,,,,,,,
204415_at,2537,204415_at,11,11,IFI6,IFI6,1p35,6-16|FAM14C|G1P3|IFI-6-16|IFI616,"interferon, alpha-inducible protein 6"
204416_x_at,341,204416_x_at,9,11,APOC1,APOC1,19q13.2,,apolipoprotein C-I
204417_at,2581,204417_at,10,11,GALC,GALC,14q31,,galactosylceramidase
204418_x_at,,,,,,,,,
204419_x_at,,,,,,,,,
204420_at,8061,204420_at,11,11,FOSL1,FOSL1,11q13,FRA1|fra-1,FOS-like antigen 1
204421_s_at,2247,204421_s_at,11,11,FGF2,FGF2,4q26-q27,BFGF|FGFB|HBGH-2,fibroblast growth factor 2 (basic)
204422_s_at,2247,204422_s_at,11,11,FGF2,FGF2,4q26-q27,BFGF|FGFB|HBGH-2,fibroblast growth factor 2 (basic)
204423_at,4289,204423_at,10,11,MKLN1,MKLN1,7q32,FLJ11162,"muskelin 1, intracellular mediator containing kelch motifs"
204424_s_at,55885,204424_s_at,11,11,LMO3,LMO3,12p12.3,DAT1|MGC26081|RBTN3|RBTNL2|RHOM3|Rhom-3,LIM domain only 3 (rhombotin-like 2)
204425_at,393,204425_at,11,11,ARHGAP4,ARHGAP4,Xq28,C1|KIAA0131|RGC1|RhoGAP4|p115,Rho GTPase activating protein 4
204426_at,10959,204426_at,11,11,TMED2,TMED2,12q24.31,FLJ21323|P24A|RNP24,transmembrane emp24 domain trafficking protein 2
204427_s_at,10959,204427_s_at,11,11,TMED2,TMED2,12q24.31,FLJ21323|P24A|RNP24,transmembrane emp24 domain trafficking protein 2
204428_s_at,3931,204428_s_at,11,11,LCAT,LCAT,16q22.1,,lecithin-cholesterol acyltransferase
204429_s_at,6518,204429_s_at,11,11,SLC2A5,SLC2A5,1p36.2,GLUT5,"solute carrier family 2 (facilitated glucose/fructose transporter), member 5"
204430_s_at,6518,204430_s_at,11,11,SLC2A5,SLC2A5,1p36.2,GLUT5,"solute carrier family 2 (facilitated glucose/fructose transporter), member 5"
204431_at,7089,204431_at,9,11,TLE2,TLE2,19p13.3,ESG|ESG2|FLJ41188|GRG2,"transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)"
204432_at,6666,204432_at,11,11,SOX12,SOX12,20p13,SOX22,SRY (sex determining region Y)-box 12
204433_s_at,9825,204433_s_at,11,11,SPATA2,SPATA2,20q13.1-q13.2,FLJ13167|KIAA0757|PD1,spermatogenesis associated 2
204434_at,9825,204434_at,11,11,SPATA2,SPATA2,20q13.1-q13.2,FLJ13167|KIAA0757|PD1,spermatogenesis associated 2
204435_at,9818,204435_at,1,11,NUPL1,NUPL1,13q12.13,KIAA0410|PRO2463,nucleoporin like 1
204436_at,80301,204436_at,11,11,PLEKHQ1,PLEKHQ1,15q22.1,DKFZp761K2312|FLJ38884|PP1628|pp9099,"pleckstrin homology domain containing, family Q member 1"
204437_s_at,2348,204437_s_at,11,11,FOLR1,FOLR1,11q13.3-q14.1,FBP|FOLR|FR-alpha|MOv18,folate receptor 1 (adult)
204438_at,,,,,,,,,
204439_at,10964,204439_at,11,11,IFI44L,IFI44L,1p31.1,C1orf29|GS3686,interferon-induced protein 44-like
204440_at,9308,204440_at,10,11,CD83,CD83,6p23,BL11|HB15,CD83 molecule
204441_s_at,23649,204441_s_at,11,11,POLA2,POLA2,11q13.1,FLJ21662|FLJ37250,"polymerase (DNA directed), alpha 2 (70kD subunit)"
204442_x_at,8425,204442_x_at,11,11,LTBP4,LTBP4,19q13.1-q13.2,FLJ46318|FLJ90018|LTBP-4|LTBP-4L,latent transforming growth factor beta binding protein 4
204443_at,410,204443_at,11,11,ARSA,ARSA,22q13.31-qter|22q13.33,MLD,arylsulfatase A
204444_at,3832,204444_at,11,11,KIF11,KIF11,10q24.1,EG5|HKSP|KNSL1|TRIP5,kinesin family member 11
204445_s_at,240,204445_s_at,11,11,ALOX5,ALOX5,10q11.2,5-LO|5LPG|LOG5|MGC163204,arachidonate 5-lipoxygenase
204446_s_at,240,204446_s_at,11,11,ALOX5,ALOX5,10q11.2,5-LO|5LPG|LOG5|MGC163204,arachidonate 5-lipoxygenase
204447_at,9762,204447_at,11,11,ProSAPiP1,,20p13,KIAA0552,ProSAPiP1 protein
204448_s_at,5082,204448_s_at,11,11,PDCL,PDCL,9q12-q13,DKFZp564M1863|PhLP,phosducin-like
204449_at,5082,204449_at,6,11,PDCL,PDCL,9q12-q13,DKFZp564M1863|PhLP,phosducin-like
204450_x_at,335,204450_x_at,11,11,APOA1,APOA1,11q23-q24,MGC117399,apolipoprotein A-I
204451_at,8321,204451_at,11,11,FZD1,FZD1,7q21,DKFZp564G072,frizzled homolog 1 (Drosophila)
204452_s_at,8321,204452_s_at,11,11,FZD1,FZD1,7q21,DKFZp564G072,frizzled homolog 1 (Drosophila)
204453_at,7637,204453_at,10,11,ZNF84,ZNF84,12q24.33,HPF2,zinc finger protein 84
204454_at,23641,204454_at,11,11,LDOC1,LDOC1,Xq27,BCUR1|Mar7|Mart7,"leucine zipper, down-regulated in cancer 1"
204455_at,667,204455_at,10,11,DST,DST,6p12-p11,BP240|BPA|BPAG1|CATX-15|D6S1101|DMH|FLJ46791|KIAA0465|KIAA1470|MACF2,dystonin
204456_s_at,2619,204456_s_at,11,11,GAS1,GAS1,9q21.3-q22,,growth arrest-specific 1
204457_s_at,2619,204457_s_at,11,11,GAS1,GAS1,9q21.3-q22,,growth arrest-specific 1
204458_at,23659,204458_at,11,11,LYPLA3,LYPLA3,16q22.1,ACS|DKFZp564A0122|LLPL|LPLA2,lysophospholipase 3 (lysosomal phospholipase A2)
204459_at,1478,204459_at,11,11,CSTF2,CSTF2,Xq22.1,CstF-64,"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa"
204460_s_at,5810,204460_s_at,11,11,RAD1,RAD1,5p13.2,HRAD1|REC1,RAD1 homolog (S. pombe)
204461_x_at,5810,204461_x_at,9,11,RAD1,RAD1,5p13.2,HRAD1|REC1,RAD1 homolog (S. pombe)
204462_s_at,6567,204462_s_at,11,11,SLC16A2,SLC16A2,Xq13.2,AHDS|DXS128|DXS128E|MCT7|MCT8|XPCT,"solute carrier family 16, member 2 (monocarboxylic acid transporter 8)"
204463_s_at,1909,204463_s_at,11,11,EDNRA,EDNRA,4q31.23,ETA|ETRA,endothelin receptor type A
204464_s_at,1909,204464_s_at,11,11,EDNRA,EDNRA,4q31.23,ETA|ETRA,endothelin receptor type A
204465_s_at,9118,204465_s_at,11,11,INA,INA,10q24.33,MGC12702|NEF5|NF-66|TXBP-1,"internexin neuronal intermediate filament protein, alpha"
204466_s_at,6622,204466_s_at,11,11,SNCA,SNCA,4q21,MGC110988|NACP|PARK1|PARK4|PD1,"synuclein, alpha (non A4 component of amyloid precursor)"
204467_s_at,6622,204467_s_at,11,11,SNCA,SNCA,4q21,MGC110988|NACP|PARK1|PARK4|PD1,"synuclein, alpha (non A4 component of amyloid precursor)"
204468_s_at,7075,204468_s_at,11,11,TIE1,TIE1,1p34-p33,JTK14|TIE,tyrosine kinase with immunoglobulin-like and EGF-like domains 1
204469_at,5803,204469_at,11,11,PTPRZ1,PTPRZ1,7q31.3,HPTPZ|HPTPzeta|PTP18|PTPRZ|PTPZ|RPTPB|RPTPbeta,"protein tyrosine phosphatase, receptor-type, Z polypeptide 1"
204470_at,2919,204470_at,11,11,CXCL1,CXCL1,4q21,GRO1|GROa|MGSA|MGSA alpha|MGSA-a|NAP-3|SCYB1,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)"
204471_at,2596,204471_at,11,11,GAP43,GAP43,3q13.1-q13.2,B-50|PP46,growth associated protein 43
204472_at,2669,204472_at,7,11,GEM,GEM,8q13-q21,KIR|MGC26294,GTP binding protein overexpressed in skeletal muscle
204473_s_at,9640,204473_s_at,11,11,ZNF592,ZNF592,15q25.3,KIAA0211|MGC138437|MGC138439,zinc finger protein 592
204474_at,7701,204474_at,11,11,ZNF142,ZNF142,2q34-q35,pHZ-49,zinc finger protein 142
204475_at,4312,204475_at,11,11,MMP1,MMP1,11q22.3,CLG|CLGN,matrix metallopeptidase 1 (interstitial collagenase)
204476_s_at,5091,204476_s_at,11,11,PC,PC,11q13.4-q13.5,PCB,pyruvate carboxylase
204477_at,5877,204477_at,10,11,RABIF,RABIF,1q32-q41,MSS4|RASGFR3|RASGRF3,RAB interacting factor
204478_s_at,5877,204478_s_at,11,11,RABIF,RABIF,1q32-q41,MSS4|RASGFR3|RASGRF3,RAB interacting factor
204479_at,26578,204479_at,11,11,OSTF1,OSTF1,9q13-q21.2,FLJ20559|OSF|SH3P2|bA235O14.1,osteoclast stimulating factor 1
204480_s_at,79095,204480_s_at,11,11,C9orf16,C9orf16,9q34.1,EST00098|FLJ12823|MGC4639,chromosome 9 open reading frame 16
204481_at,7862,204481_at,9,11,BRPF1,BRPF1,3p26-p25,BR140,"bromodomain and PHD finger containing, 1"
204482_at,7122,204482_at,11,11,CLDN5,CLDN5,22q11.21,AWAL|BEC1|CPETRL1|TMVCF,claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)
204483_at,2027,204483_at,11,11,ENO3,ENO3,17pter-p11,MSE,"enolase 3 (beta, muscle)"
204484_at,5287,204484_at,11,11,PIK3C2B,PIK3C2B,1q32,C2-PI3K|DKFZp686G16234,"phosphoinositide-3-kinase, class 2, beta polypeptide"
204485_s_at,10040,204485_s_at,11,11,TOM1L1,TOM1L1,17q23.2,SRCASM,target of myb1 (chicken)-like 1
204486_at,,,,,,,,,
204487_s_at,3784,204487_s_at,11,11,KCNQ1,KCNQ1,11p15.5,ATFB1|FLJ26167|JLNS1|KCNA8|KCNA9|KVLQT1|Kv1.9|Kv7.1|LQT|LQT1|RWS|SQT2|WRS,"potassium voltage-gated channel, KQT-like subfamily, member 1"
204488_at,22845,204488_at,11,11,TMEM15,TMEM15,9q34.11,DK1|KIAA1094,transmembrane protein 15
204489_s_at,960,204489_s_at,11,11,CD44,CD44,11p13,CDW44|ECMR-III|HCELL|IN|LHR|MC56|MDU2|MDU3|MGC10468|MIC4|MUTCH-I|Pgp1,CD44 molecule (Indian blood group)
204490_s_at,960,204490_s_at,11,11,CD44,CD44,11p13,CDW44|ECMR-III|HCELL|IN|LHR|MC56|MDU2|MDU3|MGC10468|MIC4|MUTCH-I|Pgp1,CD44 molecule (Indian blood group)
204491_at,,,,,,,,,
204492_at,9824,204492_at,11,11,ARHGAP11A,ARHGAP11A,15q13.2,GAP (1-12)|KIAA0013|MGC70740,Rho GTPase activating protein 11A
204493_at,637,204493_at,11,11,BID,BID,22q11.1,MGC15319|MGC42355,BH3 interacting domain death agonist
204494_s_at,56905,204494_s_at,11,11,C15orf39,C15orf39,15q24.2,DKFZP434H132|FLJ46337|MGC117209,chromosome 15 open reading frame 39
204495_s_at,,,,,,,,,
204496_at,29966,204496_at,10,11,STRN3,STRN3,14q13-q21,SG2NA,"striatin, calmodulin binding protein 3"
204497_at,115,204497_at,11,11,ADCY9,ADCY9,16p13.3,,adenylate cyclase 9
204498_s_at,115,204498_s_at,10,11,ADCY9,ADCY9,16p13.3,,adenylate cyclase 9
204499_at,,,,,,,,,
204500_s_at,23287,204500_s_at,11,11,AGTPBP1,AGTPBP1,9q21.33,DKFZp686M20191|KIAA1035|NNA1,ATP/GTP binding protein 1
204501_at,4856,204501_at,9,11,NOV,NOV,8q24.1,CCN3|IGFBP9|NOVH,nephroblastoma overexpressed gene
204502_at,25939,204502_at,11,11,SAMHD1,SAMHD1,20pter-q12,DCIP|HDDC1|MOP-5|SBBI88,SAM domain and HD domain 1
204503_at,2125,204503_at,11,11,EVPL,EVPL,17q25,EVPK,envoplakin
204504_s_at,8479,204504_s_at,11,11,HIRIP3,HIRIP3,16p11.2,,HIRA interacting protein 3
204505_s_at,2039,204505_s_at,11,11,EPB49,EPB49,8p21.1,DEMATIN|DMT,erythrocyte membrane protein band 4.9 (dematin)
204506_at,5534,204506_at,11,11,PPP3R1,PPP3R1,2p15,CALNB1|CNB|CNB1,"protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, alpha isoform (calcineurin B, type I)"
204507_s_at,5534,204507_s_at,11,11,PPP3R1,PPP3R1,2p15,CALNB1|CNB|CNB1,"protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, alpha isoform (calcineurin B, type I)"
204508_s_at,771,204508_s_at,11,11,CA12,CA12,15q22,CAXII|FLJ20151|HsT18816,carbonic anhydrase XII
204509_at,,,,,,,,,
204510_at,8317,204510_at,11,11,CDC7,CDC7,1p22,CDC7L1|HsCDC7|Hsk1|MGC117361|MGC126237|MGC126238|huCDC7,cell division cycle 7 homolog (S. cerevisiae)
204511_at,9855,204511_at,11,11,FARP2,FARP2,2q37.3,FIR|FRG|KIAA0793|PLEKHC3,"FERM, RhoGEF and pleckstrin domain protein 2"
204512_at,3096,204512_at,11,11,HIVEP1,HIVEP1,6p24-p22.3,CIRIP|CRYBP1|MBP-1|PRDII-BF1|ZNF40,human immunodeficiency virus type I enhancer binding protein 1
204513_s_at,9844,204513_s_at,11,11,ELMO1,ELMO1,7p14.2,CED-12|CED12|ELMO-1|KIAA0281|MGC126406,engulfment and cell motility 1
204514_at,1802,204514_at,11,11,DPH2,DPH2,1p34,DPH2L2,DPH2 homolog (S. cerevisiae)
204515_at,3283,204515_at,11,11,HSD3B1,HSD3B1,1p13.1,HSD3B|HSDB3,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1"
204516_at,,,,,,,,,
204517_at,5480,204517_at,11,11,PPIC,PPIC,5q23.2,CYPC|MGC3673,peptidylprolyl isomerase C (cyclophilin C)
204518_s_at,5480,204518_s_at,11,11,PPIC,PPIC,5q23.2,CYPC|MGC3673,peptidylprolyl isomerase C (cyclophilin C)
204519_s_at,51090,204519_s_at,11,11,PLLP,PLLP,16q13,PMLP|TM4SF11,plasma membrane proteolipid (plasmolipin)
204520_x_at,23774,204520_x_at,11,11,BRD1,BRD1,22q13.33,BRL|BRPF1|BRPF2|DKFZp686F0325,bromodomain containing 1
204521_at,29902,204521_at,11,11,C12orf24,C12orf24,12q24.11,HSU79274,chromosome 12 open reading frame 24
204522_at,1797,204522_at,11,11,DOM3Z,DOM3Z,6p21.3,DOM3L|NG6,dom-3 homolog Z (C. elegans)
204523_at,7699,204523_at,10,11,ZNF140,ZNF140,12q24.32-q24.33,pHZ-39,zinc finger protein 140
204524_at,5170,204524_at,11,11,PDPK1,PDPK1,16p13.3,MGC20087|MGC35290|PDK1|PRO0461|PkB-like|PkB-like 1,3-phosphoinositide dependent protein kinase-1
204525_at,9678,204525_at,11,11,PHF14,PHF14,7p21.3,,PHD finger protein 14
204526_s_at,11138,204526_s_at,11,11,TBC1D8,TBC1D8,2q11.2,AD3|HBLP1|VRP,"TBC1 domain family, member 8 (with GRAM domain)"
204527_at,4644,204527_at,11,11,MYO5A,MYO5A,15q21,GS1|MYH12|MYO5|MYOXIN|MYR12|myosin V|myosin Va,"myosin VA (heavy chain 12, myoxin)"
204528_s_at,4673,204528_s_at,11,11,NAP1L1,NAP1L1,12q21.2,FLJ16112|MGC23410|MGC8688|NAP1|NAP1L|NRP,nucleosome assembly protein 1-like 1
204529_s_at,9760,204529_s_at,11,11,TOX,,8q12.1,KIAA0808,thymus high mobility group box protein TOX
204530_s_at,9760,204530_s_at,11,11,TOX,,8q12.1,KIAA0808,thymus high mobility group box protein TOX
204531_s_at,672,204531_s_at,11,11,BRCA1,BRCA1,17q21,BRCAI|BRCC1|IRIS|PSCP|RNF53,"breast cancer 1, early onset"
204532_x_at,,,,,,,,,
204533_at,3627,204533_at,11,11,CXCL10,CXCL10,4q21,C7|IFI10|INP10|IP-10|SCYB10|crg-2|gIP-10|mob-1,chemokine (C-X-C motif) ligand 10
204534_at,7448,204534_at,11,11,VTN,VTN,17q11,V75|VN|VNT,vitronectin
204535_s_at,5978,204535_s_at,11,11,REST,REST,4q12,NRSF|XBR,RE1-silencing transcription factor
204536_s_at,,,,,,,,,
204537_s_at,2564,204537_s_at,11,11,GABRE,GABRE,Xq28,,"gamma-aminobutyric acid (GABA) A receptor, epsilon"
204538_x_at,9284,204538_x_at,11,11,NPIP,NPIP,16p13-p11,,nuclear pore complex interacting protein
204539_s_at,9620,204539_s_at,11,11,CELSR1,CELSR1,22q13.3,CDHF9|DKFZp434P0729|FMI2|HFMI2|ME2,"cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)"
204540_at,1917,204540_at,9,11,EEF1A2,EEF1A2,20q13.3,EEF1AL|EF-1-alpha-2|EF1A|HS1|STN,eukaryotic translation elongation factor 1 alpha 2
204541_at,23541,204541_at,11,11,SEC14L2,SEC14L2,22q12.2,C22orf6|KIAA1186|KIAA1658|MGC65053|SPF|TAP|TAP1,SEC14-like 2 (S. cerevisiae)
204542_at,10610,204542_at,11,11,ST6GALNAC2,ST6GALNAC2,17q25.1,SIAT7|SIAT7B|SIATL1|ST6GalNAII|STHM,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
204543_at,2889,204543_at,11,11,RAPGEF1,RAPGEF1,9q34.3,C3G|DKFZp781P1719|GRF2,Rap guanine nucleotide exchange factor (GEF) 1
204544_at,11234,204544_at,9,11,HPS5,HPS5,11p14,AIBP63|KIAA1017,Hermansky-Pudlak syndrome 5
204545_at,5190,204545_at,10,11,PEX6,PEX6,6p21.1,PAF-2|PAF2|PXAAA1,peroxisomal biogenesis factor 6
204546_at,9764,204546_at,11,11,KIAA0513,KIAA0513,16q24.1,,KIAA0513
204547_at,10966,204547_at,11,11,RAB40B,RAB40B,17q25.3,FLJ42385|RAR|SEC4L,"RAB40B, member RAS oncogene family"
204548_at,6770,204548_at,11,11,STAR,STAR,8p11.2,STARD1,steroidogenic acute regulator
204549_at,9641,204549_at,9,11,IKBKE,IKBKE,1q32.1,IKK-i|IKKE|IKKI|KIAA0151|MGC125294|MGC125295|MGC125297,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon"
204550_x_at,,,,,,,,,
204551_s_at,197,204551_s_at,11,11,AHSG,AHSG,3q27,A2HS|AHS|FETUA|HSGA,alpha-2-HS-glycoprotein
204552_at,,,,,,,,,
204553_x_at,3631,204553_x_at,11,11,INPP4A,INPP4A,2q11.2,INPP4,"inositol polyphosphate-4-phosphatase, type I, 107kDa"
204554_at,5509,204554_at,11,11,PPP1R3D,PPP1R3D,20q13.3,DKFZp781L2441|PPP1R6,"protein phosphatase 1, regulatory subunit 3D"
204555_s_at,5509,204555_s_at,11,11,PPP1R3D,PPP1R3D,20q13.3,DKFZp781L2441|PPP1R6,"protein phosphatase 1, regulatory subunit 3D"
204556_s_at,22873,204556_s_at,11,11,DZIP1,DZIP1,13q32.1,DZIP|DZIPt1|KIAA0996|RP11-23E3.3,DAZ interacting protein 1
204557_s_at,22873,204557_s_at,11,11,DZIP1,DZIP1,13q32.1,DZIP|DZIPt1|KIAA0996|RP11-23E3.3,DAZ interacting protein 1
204558_at,8438,204558_at,10,11,RAD54L,RAD54L,1p32,HR54|RAD54A|hHR54|hRAD54,RAD54-like (S. cerevisiae)
204559_s_at,51690,204559_s_at,11,11,LSM7,LSM7,19p13.3,YNL147W,"LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
204560_at,2289,204560_at,11,11,FKBP5,FKBP5,6p21.3-21.2,FKBP51|FKBP54|MGC111006|P54|PPIase|Ptg-10,FK506 binding protein 5
204561_x_at,344,204561_x_at,9,11,APOC2,APOC2,19q13.2,MGC75082,apolipoprotein C-II
204562_at,3662,204562_at,11,11,IRF4,IRF4,6p25-p23,LSIRF|MUM1,interferon regulatory factor 4
204563_at,6402,204563_at,11,11,SELL,SELL,1q23-q25,CD62L|LAM-1|LAM1|LECAM1|LNHR|LSEL|LYAM1|Leu-8|Lyam-1|PLNHR|TQ1|hLHRc,selectin L (lymphocyte adhesion molecule 1)
204564_at,10336,204564_at,11,11,PCGF3,PCGF3,4p16.3,DKFZp686D20235|DONG1|FLJ36550|FLJ43813|MGC129615|MGC40413|RNF3|RNF3A,polycomb group ring finger 3
204565_at,55856,204565_at,11,11,THEM2,THEM2,6p22.2,HT012|MGC4961|PNAS-27,thioesterase superfamily member 2
204566_at,8493,204566_at,11,11,PPM1D,PPM1D,17q23.2,PP2C-DELTA|WIP1,"protein phosphatase 1D magnesium-dependent, delta isoform"
204567_s_at,9619,204567_s_at,11,11,ABCG1,ABCG1,21q22.3,ABC8|MGC34313|WHITE1,"ATP-binding cassette, sub-family G (WHITE), member 1"
204568_at,22863,204568_at,11,11,KIAA0831,KIAA0831,14q22.3,MGC126291|MGC126292,KIAA0831
204569_at,22858,204569_at,11,11,ICK,ICK,6p12.3-p11.2,KIAA0936|LCK2|MGC46090|MRK,intestinal cell (MAK-like) kinase
204570_at,1346,204570_at,11,11,COX7A1,COX7A1,19q13.1,COX7A|COX7AH|COX7AM,cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)
204571_x_at,5303,204571_x_at,11,11,PIN4,PIN4,Xq13,EPVH|MGC138486|PAR14,"protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)"
204572_s_at,5303,204572_s_at,9,11,PIN4,PIN4,Xq13,EPVH|MGC138486|PAR14,"protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)"
204573_at,54677,204573_at,11,11,CROT,CROT,7q21.1,COT,carnitine O-octanoyltransferase
204574_s_at,4327,204574_s_at,11,11,MMP19,MMP19,12q14,MMP18|RASI-1,matrix metallopeptidase 19
204575_s_at,4327,204575_s_at,11,11,MMP19,MMP19,12q14,MMP18|RASI-1,matrix metallopeptidase 19
204576_s_at,23059,204576_s_at,11,11,CLUAP1,CLUAP1,16p13.3,FLJ13297|KIAA0643,clusterin associated protein 1
204577_s_at,23059,204577_s_at,11,11,CLUAP1,CLUAP1,16p13.3,FLJ13297|KIAA0643,clusterin associated protein 1
204578_at,9677,204578_at,11,11,HISPPD2A,HISPPD2A,15q15.3,DKFZp313L0221|KIAA0377|MGC51871,histidine acid phosphatase domain containing 2A
204579_at,2264,204579_at,9,11,FGFR4,FGFR4,5q35.1-qter,CD334|JTK2|MGC20292|TKF,fibroblast growth factor receptor 4
204580_at,4321,204580_at,10,11,MMP12,MMP12,11q22.3,HME|MGC138506|MME,matrix metallopeptidase 12 (macrophage elastase)
204581_at,933,204581_at,11,11,CD22,CD22,19q13.1,MGC130020|SIGLEC-2|SIGLEC2,CD22 molecule
204582_s_at,354,204582_s_at,11,11,KLK3,KLK3,19q13.41,APS|KLK2A1|PSA|hK3,kallikrein-related peptidase 3
204583_x_at,354,204583_x_at,11,11,KLK3,KLK3,19q13.41,APS|KLK2A1|PSA|hK3,kallikrein-related peptidase 3
204584_at,,,,,,,,,
204585_s_at,3897,204585_s_at,11,11,L1CAM,L1CAM,Xq28,CAML1|CD171|HSAS|HSAS1|MASA|MIC5|N-CAML1|S10|SPG1,L1 cell adhesion molecule
204586_at,8927,204586_at,8,11,BSN,BSN,3p21.31,ZNF231,bassoon (presynaptic cytomatrix protein)
204587_at,9016,204587_at,11,11,SLC25A14,SLC25A14,Xq24,BMCP1|MGC149543|UCP5,"solute carrier family 25 (mitochondrial carrier, brain), member 14"
204588_s_at,9056,204588_s_at,11,11,SLC7A7,SLC7A7,14q11.2,LAT3|LPI|Y+LAT1|y+LAT-1,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
204589_at,9891,204589_at,11,11,NUAK1,NUAK1,12q23.3,ARK5|KIAA0537,"NUAK family, SNF1-like kinase, 1"
204590_x_at,65082,204590_x_at,8,11,VPS33A,VPS33A,12q24.31,FLJ22395|FLJ23187,vacuolar protein sorting 33 homolog A (S. cerevisiae)
204591_at,10752,204591_at,10,11,CHL1,CHL1,3p26.1,CALL|FLJ44930|L1CAM2|MGC132578,cell adhesion molecule with homology to L1CAM (close homolog of L1)
204592_at,1742,204592_at,11,11,DLG4,DLG4,17p13.1,PSD95|SAP90,"discs, large homolog 4 (Drosophila)"
204593_s_at,54471,204593_s_at,11,11,SMCR7L,SMCR7L,22q13,FLJ20232|HSU79252|dJ1104E15.3,"Smith-Magenis syndrome chromosome region, candidate 7-like"
204594_s_at,54471,204594_s_at,11,11,SMCR7L,SMCR7L,22q13,FLJ20232|HSU79252|dJ1104E15.3,"Smith-Magenis syndrome chromosome region, candidate 7-like"
204595_s_at,6781,204595_s_at,11,11,STC1,STC1,8p21-p11.2,STC,stanniocalcin 1
204596_s_at,6781,204596_s_at,11,11,STC1,STC1,8p21-p11.2,STC,stanniocalcin 1
204597_x_at,6781,204597_x_at,11,11,STC1,STC1,8p21-p11.2,STC,stanniocalcin 1
204598_at,22888,204598_at,11,11,UBOX5,UBOX5,20p13,KIAA0860|RNF37|UBCE7IP5|UIP5,U-box domain containing 5
204599_s_at,10573,204599_s_at,11,11,MRPL28,MRPL28,16p13.3,MAAT1|MGC8499|p15,mitochondrial ribosomal protein L28
204600_at,2049,204600_at,9,11,EPHB3,EPHB3,3q21-qter,ETK2|HEK2|TYRO6,EPH receptor B3
204601_at,9683,204601_at,11,11,N4BP1,,16q12.1,FLJ31821|KIAA0615,Nedd4 binding protein 1
204602_at,22943,204602_at,11,11,DKK1,DKK1,10q11.2,DKK-1|SK,dickkopf homolog 1 (Xenopus laevis)
204603_at,9156,204603_at,11,11,EXO1,EXO1,1q42-q43,HEX1|hExoI,exonuclease 1
204604_at,5218,204604_at,11,11,PFTK1,PFTK1,7q21-q22,KIAA0834|PFTAIRE1,PFTAIRE protein kinase 1
204605_at,10668,204605_at,11,11,CGRRF1,CGRRF1,14q22.2,CGR19|RNF197,cell growth regulator with ring finger domain 1
204606_at,6366,204606_at,10,11,CCL21,CCL21,9p13,6Ckine|CKb9|ECL|MGC34555|SCYA21|SLC|TCA4,chemokine (C-C motif) ligand 21
204607_at,3158,204607_at,10,11,HMGCS2,HMGCS2,1p13-p12,,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)
204608_at,435,204608_at,11,11,ASL,ASL,7cen-q11.2,ASAL,argininosuccinate lyase
204609_at,11007,204609_at,11,11,CCDC85B,CCDC85B,11q12.1,DIPA,coiled-coil domain containing 85B
